Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,total,Hygiene,2000,100,4624763,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2000,100,2253504,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2000,100,1986559,Basic service
sdg,Australia and New Zealand,total,Hygiene,2000,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2000,100,384700,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2000,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2000,100,713379,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2000,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2000,100,3911384,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2000,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2000,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2000,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2000,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2000,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2000,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2000,100,4624763,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2000,100,2253504,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2000,100,1986559,Basic service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2000,100,384700,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2000,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2000,100,713379,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2000,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2000,100,3911384,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2000,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2000,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2000,0,0,No service
